 time                    v(in)                   v(out)                 
 2.2455626694353880e-04  9.8724835417404506e+00  1.2368122385918061e+00 
 2.2654825893553079e-04  9.8916337667248904e+00  1.2540163649795641e+00 
 2.2854025092752277e-04  9.9092344714026801e+00  1.2712228223424789e+00 
 2.3053224291951475e-04  9.9252828986307655e+00  1.2884285197376877e+00 
 2.3252423491150674e-04  9.9397765344297113e+00  1.3056303671285421e+00 
 2.3451622690349872e-04  9.9527131083775089e+00  1.3228252758670938e+00 
 2.3650821889549070e-04  9.9640905939652455e+00  1.3400101591763660e+00 
 2.3850021088748269e-04  9.9739072089145413e+00  1.3571819326323382e+00 
 2.4049220287947467e-04  9.9821614154567584e+00  1.3743375146455601e+00 
 2.4248419487146665e-04  9.9888519205738842e+00  1.3914738269423281e+00 
 2.4447618686345866e-04  9.9939776762010766e+00  1.4085877950453451e+00 
 2.4646817885545064e-04  9.9975378793908565e+00  1.4256763487537880e+00 
 2.4846017084744263e-04  9.9995319724388771e+00  1.4427364226227082e+00 
 2.5045216283943461e-04  9.9999596429712927e+00  1.4597649564416917e+00 
 2.5244415483142659e-04  9.9988208239936931e+00  1.4767588957126998e+00 
 2.5443614682341858e-04  9.9961156939015972e+00  1.4937151921270202e+00 
 2.5642813881541056e-04  9.9918446764525051e+00  1.5106308040412502e+00 
 2.5842013080740254e-04  9.9860084406995213e+00  1.5275026969522396e+00 
 2.6041212279939453e-04  9.9786079008865443e+00  1.5443278439709185e+00 
 2.6240411479138651e-04  9.9696442163050509e+00  1.5611032262949338e+00 
 2.6439610678337849e-04  9.9591187911124930e+00  1.5778258336800246e+00 
 2.6638809877537048e-04  9.9470332741123411e+00  1.5944926649100566e+00 
 2.6838009076736246e-04  9.9333895584957972e+00  1.6111007282656480e+00 
 2.7037208275935444e-04  9.9181897815452231e+00  1.6276470419913098e+00 
 2.7236407475134643e-04  9.9014363242993433e+00  1.6441286347610269e+00 
 2.7435606674333841e-04  9.8831318111802542e+00  1.6605425461422121e+00 
 2.7634805873533039e-04  9.8632791095823062e+00  1.6768858270579530e+00 
 2.7834005072732238e-04  9.8418813294229288e+00  1.6931555402474847e+00 
 2.8033204271931436e-04  9.8189418226554661e+00  1.7093487607248135e+00 
 2.8232403471130634e-04  9.7944641827440897e+00  1.7254625762354219e+00 
 2.8431602670329832e-04  9.7684522441008923e+00  1.7414940877109821e+00 
 2.8630801869529031e-04  9.7409100814852181e+00  1.7574404097220062e+00 
 2.8830001068728229e-04  9.7118420093653643e+00  1.7732986709283620e+00 
 2.9029200267927427e-04  9.6812525812427079e+00  1.7890660145275881e+00 
 2.9228399467126626e-04  9.6491465889384180e+00  1.8047395987009298e+00 
 2.9427598666325824e-04  9.6155290618428069e+00  1.8203165970570345e+00 
 2.9626797865525022e-04  9.5804052661274781e+00  1.8357941990732320e+00 
 2.9825997064724221e-04  9.5437807039203975e+00  1.8511696105343320e+00 
 3.0025196263923419e-04  9.5056611124439634e+00  1.8664400539688693e+00 
 3.0224395463122617e-04  9.4660524631162932e+00  1.8816027690827299e+00 
 3.0423594662321816e-04  9.4249609606157971e+00  1.8966550131900901e+00 
 3.0622793861521014e-04  9.3823930419092143e+00  1.9115940616415972e+00 
 3.0821993060720212e-04  9.3383553752432640e+00  1.9264172082497306e+00 
 3.1021192259919411e-04  9.2928548591000784e+00  1.9411217657112729e+00 
